time,xPos,yPos,theta,
1678312341,0.863337798,1.13350286,37.29488256,37.29488256
1678312341,0.86280779,1.132485871,37.30271305,37.30271305
1678312341,0.859645965,1.131237337,37.23180278,37.23180278
1678312341,0.842097627,1.138741142,36.48287843,36.48287843
1678312341,0.787391386,1.145122056,34.51259893,34.51259893
1678312341,0.731029174,1.147869726,32.49131851,32.49131851
1678312341,0.67810714,1.141638234,30.70934832,30.70934832
1678312341,0.626636245,1.134385706,28.91632172,28.91632172
1678312342,0.562254668,1.124369478,26.56790187,26.56790187
1678312342,0.500123029,1.118030403,24.10016487,24.10016487
1678312342,0.441770555,1.114199711,21.62789798,21.62789798
1678312342,0.381008516,1.106493751,19.00056309,19.00056309
1678312342,0.320045482,1.101411575,16.20267866,16.20267866
1678312342,0.22548139,1.095472695,11.63076864,11.63076864
1678312342,0.193990925,1.100506583,9.997067452,9.997067452
1678312342,0.130808096,1.10016964,6.780528163,6.780528163
1678312342,0.067635373,1.095188521,3.533917704,3.533917704
1678312342,0.005279816,1.098595414,0.275359644,0.275359644
1678312342,-0.062150082,1.101448611,-3.229533682,-3.229533682
1678312342,-0.130079746,1.105669209,-6.709888731,-6.709888731
1678312342,-0.163587271,1.104759705,-8.422866754,-8.422866754
1678312342,-0.228168935,1.10516223,-11.6652391,-11.6652391
1678312342,-0.290815863,1.106765927,-14.72233875,-14.72233875
1678312343,-0.351865701,1.113432199,-17.5375246,-17.5375246
1678312343,-0.415667817,1.117668002,-20.40048695,-20.40048695
1678312343,-0.481363746,1.119410991,-23.26844001,-23.26844001
1678312343,-0.545321577,1.123291888,-25.89506092,-25.89506092
1678312343,-0.641223211,1.129316619,-29.58780426,-29.58780426
1678312343,-0.704098781,1.136811184,-31.7725418,-31.7725418
1678312343,-0.797270814,1.140351513,-34.95912096,-34.95912096
1678312343,-0.860533294,1.147743213,-36.86113891,-36.86113891
1678312343,-0.929621367,1.160165872,-38.704609,-38.704609
1678312343,-1.024200203,1.171502801,-41.16196282,-41.16196282
1678312343,-1.087884172,1.18836414,-42.47244489,-42.47244489
