x,y
55.09645832587926,1960.225849304091
106.62320751588283,1956.0962378213976
116.94237538967613,1947.492100327552
138.6145183045113,1948.0746944907446
175.96535867948785,1941.0402346537794
210.1611180506391,1942.6652579535428
241.11739514971853,1944.1047815784557
288.41681837236416,1942.7073219813537
306.47959917192827,1932.8526212030274
351.05473542582683,1926.2721959097844
386.3219672566351,1924.6101780919075
425.11247591062346,1930.7533200347318
452.48281405339475,1930.685966952244
488.43431087107695,1926.0324306625514
522.3209870923039,1926.446673656689
554.964673348057,1921.4614779733902
596.9558589996161,1921.4025352346214
633.7750001195083,1925.3722365359686
675.9139268182778,1927.9495230770685
722.3544443746414,1922.7896548224414
756.9469261865013,1925.562866004849
796.9319972040438,1927.769538049705
821.977768964346,1915.0479229848
881.7757713565921,1922.419436295963
918.0355560844358,1915.3555068876224
983.3040941007636,1910.8411913407867
1043.6653390875294,1904.8219496812062
1094.5059877415918,1914.1791041586996
1115.1913901097334,1913.785035845228
1191.0529282290074,1893.558006018592
1220.2065560276965,1889.205378096047
1258.4850335929432,1894.0146304140758
1275.6853960411975,1884.887999411958
1331.4844417466768,1854.5183151930694
1381.1344302232465,1850.391495238753
1425.9839984255339,1869.1630844402869
1424.1353919852445,1814.9620892170265
1396.6045056460107,1682.9928267254327
979.1592159817806,1107.1274677099946
786.0873938850548,876.0111923799849
757.9134355314708,825.9589724925102
728.7942504592518,765.576867791561
735.2594229108433,735.522658400687
728.441689267189,716.8379909976619
731.170984144822,689.5027135151046
731.1872871726808,667.4317576180022
732.671378109941,644.8012497649798
732.7973623085189,629.4156224575914
733.3924928921286,605.4225395287733
735.4564858932779,583.8019847152892
738.2190127824937,563.9802205454021
742.6993345531042,546.3347860555615
752.2903526052696,527.8448876109715
762.2162795017799,520.5337100154653
774.8279647768786,510.71090158691555
792.523400750502,505.47666539896693
817.0213656512664,492.53638248289815
854.3867748221147,486.1195727483775
893.5523828641293,502.1843676159549
946.3963234539785,514.0651699471503
1020.6269297587604,534.2515046784672
1128.625045790031,566.8990262960859
1327.275381566661,636.4935675142948
1788.452313808005,799.4493862870823
2188.6777827467636,962.5853537794517
2962.6989058976833,1196.0101140846054
3061.538930254302,1199.1344288849955
3110.729848508393,1168.6268906708208
3022.763508204785,1062.3167011138914
2975.618997087144,980.5001704100308
3002.704226732387,935.3033340919184
3112.80439072471,923.8278113831419
3056.3607268281394,881.7143003845232
